balls_faced,total_runs,total_extras_seen,avg_runs_per_ball,boundary_rate,dot_ball_rate
3,1,0,0.3333333333333333,0.0,0.6666666666666666
17,7,4,0.4117647058823529,0.0,0.7058823529411765
56,68,3,1.2142857142857142,0.14285714285714285,0.39285714285714285
14,7,0,0.5,0.0,0.5714285714285714
4,1,1,0.25,0.0,0.75
9,2,3,0.2222222222222222,0.0,0.7777777777777778
3,4,0,1.3333333333333333,0.0,0.3333333333333333
8,6,0,0.75,0.125,0.75
2,1,0,0.5,0.0,0.5
4,0,0,0.0,0.0,1.0
3,7,0,2.3333333333333335,0.0,0.3333333333333333
21,21,1,1.0,0.19047619047619047,0.5714285714285714
16,7,0,0.4375,0.0,0.625
7,0,0,0.0,0.0,1.0
14,27,0,1.9285714285714286,0.35714285714285715,0.5714285714285714
16,13,0,0.8125,0.0625,0.625
20,15,3,0.75,0.0,0.35
31,38,3,1.2258064516129032,0.16129032258064516,0.41935483870967744
6,3,0,0.5,0.0,0.5
12,21,0,1.75,0.25,0.3333333333333333
16,17,0,1.0625,0.125,0.5
13,18,1,1.3846153846153846,0.23076923076923078,0.3076923076923077
20,13,3,0.65,0.05,0.6
5,4,0,0.8,0.2,0.8
5,5,0,1.0,0.2,0.6
10,9,0,0.9,0.1,0.6
17,16,6,0.9411764705882353,0.11764705882352941,0.5882352941176471
