PC1,PC2,PC3
-2.829790988893261,0.8033295189106676,0.2471370659391039
0.13384517591414555,1.738391928901408,-0.45680014137691594
-0.8198705396897382,1.7144823926477097,-0.2720381220444834
-0.814508993929979,1.7037084055534883,-0.2595453115975934
-0.8091474481702198,1.692934418459267,-0.24705250115070343
0.15529135895318233,1.6952959805245225,-0.40682889958935575
-0.3188857259688799,1.6779542188505623,-0.3082014846996944
0.18209908775197833,1.6414260450534153,-0.3443648473549056
-0.7716166278519054,1.6175165087997168,-0.15960282802247305
-0.7662550820921462,1.6067425217054956,-0.1471100175755832
-0.28135490565056553,1.6025363091910123,-0.22075181157146423
-0.7555319905726279,1.5851945475170526,-0.122124396681803
-0.7501704448128687,1.5744205604228312,-0.10963158623491298
-0.7233627160140726,1.5205506249517242,-0.047167534000462814
0.2410760911093295,1.5229121870169797,-0.20694393243911519
-0.7126396244945543,1.4990026507632814,-0.022181913106682792
0.2517991826288479,1.5013642128285367,-0.181958311545335
-0.7019165329750359,1.4774546765748384,0.0028037077870973794
-0.6965549872152766,1.466680689480617,0.015296518233987384
-0.6697472584164808,1.41281075400951,0.0777605704684375
-0.6643857126567215,1.4020367669152884,0.09025338091532757
-0.6590241668969623,1.391262779821067,0.10274619136221759
-0.6536626211372031,1.3804887927268457,0.11523900180910766
-0.648301075377444,1.3697148056326243,0.12773181225599767
-0.6429395296176847,1.3589408185384029,0.14022462270288769
-0.13659317013706726,1.311638657647034,0.11655407049456669
-0.6107702550591295,1.2942968959730743,0.21518148538422793
-0.12587007861754887,1.2900906834585912,0.14153969138834677
-0.6000471635396112,1.2727489217846315,0.24016710627800802
0.364391643583791,1.275110483849887,0.0803907078393557
-0.5893240720200927,1.2512009475961887,0.26515272717178806
-0.0829777125394753,1.2038987867048199,0.24148217496346702
-0.07761616677971606,1.1931247996105985,0.2539749854103572
-0.5517932517017784,1.1757830379366387,0.35260240030001827
-0.5464317059420192,1.1650090508424173,0.3650952107469084
-0.061531529500438525,1.1608028383279343,0.2914534167510272
-0.5357086144225008,1.1434610766539746,0.39008083164068835
-0.5089008856237048,1.0895911411828674,0.4525448838751385
-0.5035393398639456,1.078817154088646,0.46503769432202874
-0.4981777941041865,1.0680431669944246,0.4775305047689186
-0.4928162483444273,1.0572691799002032,0.49002331521580883
-0.007916071902846543,1.0530629673857201,0.41638152121992755
-0.48209315682490883,1.0357212057117604,0.5150089361095889
-0.45528542802611294,0.9818512702406532,0.577472988344039
0.02961474841546778,0.9776450577261702,0.5038311943481578
-0.4445623365065945,0.9603032960522102,0.6024586092378192
-0.43920079074683527,0.9495293089579889,0.6149514196847092
-2.4330366026710806,0.006054473938282767,1.1716050390089667
0.05106093145450458,0.9345491093492845,0.553802436135718
0.05642247721426376,0.9237751222550631,0.566295246582608
-0.40166997042852093,0.8741113992984391,0.7024010928129394
-0.3963084246687618,0.8633374122042177,0.7148939032598294
-0.3909468789090025,0.852563425109996,0.7273867137067196
-0.38558533314924337,0.8417894380157747,0.7398795241536096
-0.38022378738948415,0.8310154509215533,0.7523723346004996
-0.37486224162972503,0.8202414638273319,0.7648651450473896
-0.34805451283092903,0.7663715283562248,0.8273291972818397
-0.3426929670711698,0.7555975412620034,0.8398220077287297
-0.3373314213114106,0.7448235541677819,0.8523148181756199
-0.33196987555165136,0.7340495670735605,0.8648076286225099
-0.3266083297918922,0.7232755799793391,0.8773004390693999
0.15829184664968848,0.7190693674648561,0.8036586450735187
-0.2944390552333371,0.6586316574140106,0.9522573017507401
-0.28907750947357785,0.6478576703197892,0.96475011219763
-0.2837159637138186,0.6370836832255676,0.9772429226445202
0.2011842127277621,0.6328774707110846,0.9036011286486391
-0.27299287219430024,0.6155357090371248,1.0022285435383
-0.2676313264345411,0.6047617219429036,1.01472135398519
-2.2400209553197494,-0.38180906145368837,1.6213462150970082
-0.23546205187598587,0.540117799377575,1.0896782166665304
-0.2301005061162266,0.5293438122833535,1.1021710271134206
0.25479967032535406,0.5251375997688704,1.0285292331175393
0.7396998467669347,0.5209313872543875,0.9548874391216581
-0.2140158688369491,0.4970218510006894,1.1396494584540906
-0.20865432307718992,0.486247863906468,1.1521422689009806
-0.1872081400381531,0.4431519155295823,1.2021135106885408
-0.18184659427839392,0.4323779284353609,1.2146063211354308
-0.17648504851863464,0.4216039413411394,1.2270991315823208
-0.17112350275887547,0.410829954246918,1.239591942029211
-0.1657619569991163,0.4000559671526966,1.252084752476101
-0.16040041123935714,0.3892819800584752,1.264577562922991
-2.1327900401245654,-0.5972888033381168,1.8712024240348089
-0.12823113668080197,0.3246380574931467,1.339534425604331
-2.122066948605047,-0.6188367775265597,1.896188044928589
-0.11750804516128352,0.3030900833047038,1.3645200464981113
-0.11214649940152435,0.2923160962104824,1.3770128569450013
-0.10678495364176516,0.281542109116261,1.3895056673918913
0.37811522279981546,0.27733589660177804,1.31586387339601
0.38347676855957474,0.2665619095075564,1.3283566838429002
-0.07997722484296918,0.22767217364515396,1.4519697196263415
0.40492295159861147,0.22346596113067094,1.3783279256304601
-0.06925413332345073,0.20612419945671095,1.4769553405201217
-0.06389258756369157,0.19535021236248956,1.4894481509670117
-0.0585310418039324,0.18457622526826814,1.5019409614139017
-0.053169496044173176,0.17380223817404675,1.5144337718607916
0.45317686343644437,0.1265000772826779,1.4907632196524707
-0.021000221485618115,0.10915831560871839,1.5893906345421316
0.4638999549559627,0.1049521030942351,1.5157488405462507
-0.010277129966099722,0.0876103414202756,1.6143762554359118
-0.00491558420634039,0.07683635432605393,1.626869065882802
0.9595232229170617,0.07919791639130914,1.4670926674441498
0.5067923210340364,0.018760206340463662,1.615691324121371
0.032615236111973894,0.0014184446665041655,1.7143187390110322
-1.9612205758122712,-0.9420563903532024,2.27097235833529
-1.955859030052512,-0.9528303774474235,2.2834651687821794
0.04869987339125151,-0.030903516616160153,1.7517971703517023
0.5336000498328324,-0.03510972913064345,1.6781553763558212
0.05942296491076984,-0.05245149080460294,1.7767827912454823
0.06478451067052912,-0.06322547789882446,1.7892756016923723
1.999023670677093,-0.06927634086253542,1.4822156152619579
0.08623069370956585,-0.10632142627571003,1.8392468434799325
0.5711308701511466,-0.1105276387901932,1.7656050494840514
